0x005cdf40,swig_TGUIObject_IsSelected
0x005cdfa0,swig_TGUIObject_SetSelected
0x005ce030,swig_TGUIObject_SetNotSelected
0x005ce0c0,swig_TGUIObject_ToggleSelected
0x005ce170,swig_TGUIObject_SetSelectedFlag
0x005ce230,swig_TGUIObject_IsHighlighted
0x005ce290,swig_TGUIObject_SetHighlighted
0x005ce320,swig_TGUIObject_SetNotHighlighted
0x005ce3b0,swig_TGUIObject_ToggleHighlighted
0x005ce460,swig_TGUIObject_SetHighlightedFlag
0x005ce520,swig_TGUIObject_IsCompletelyVisible
0x005ce5a0,swig_TGUIObject_IsVisible
0x005ce600,swig_TGUIObject_SetVisible
0x005ce690,swig_TGUIObject_SetNotVisible
0x005ce720,swig_TGUIObject_ToggleVisible
0x005ce7d0,swig_TGUIObject_SetVisibleFlag
0x005ce890,swig_TGUIObject_IsExclusive
0x005ce8f0,swig_TGUIObject_SetExclusive
0x005ce980,swig_TGUIObject_SetNotExclusive
0x005cea10,swig_TGUIObject_ToggleExclusive
0x005ceac0,swig_TGUIObject_SetExclusiveFlag
0x005ceb80,swig_TGUIObject_IsSkipParent
0x005cebe0,swig_TGUIObject_SetSkipParent
0x005cec50,swig_TGUIObject_SetNoSkipParent
0x005cecc0,swig_TGUIObject_ToggleSkipParent
0x005ced50,swig_TGUIObject_SetSkipParentFlag
0x005cedf0,swig_TGUIObject_IsAlwaysHandleEvents
0x005cee50,swig_TGUIObject_SetAlwaysHandleEvents
0x005ceec0,swig_TGUIObject_SetNotAlwaysHandleEvents
0x005cef30,swig_TGUIObject_ToggleAlwaysHandleEvents
0x005cefc0,swig_TGUIObject_SetAlwaysHandleEventsFlag
0x005cf060,swig_TGUIObject_IsUseParentBatch
0x005cf0d0,swig_TGUIObject_SetUseParentBatch
0x005cf160,swig_TGUIObject_SetNotUseParentBatch
0x005cf1f0,swig_TGUIObject_ToggleUseParentBatch
0x005cf2a0,swig_TGUIObject_SetUseParentBatchFlag
